,datetime,temp,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,visibility,severerisk,conditions,cat
0,2022-07-27 00:00:00,75.8,0.0,0.0,,0,0,6.9,8.0,9.9,10,Partially cloudy,0
1,2022-07-27 01:00:00,74.0,0.0,0.0,,0,0,4.3,0.0,9.9,10,Partially cloudy,0
2,2022-07-27 02:00:00,71.2,0.0,0.0,,0,0,4.0,3.3,9.9,10,Partially cloudy,0
3,2022-07-27 03:00:00,72.0,0.0,0.0,,0,0,6.0,3.3,9.9,10,Partially cloudy,0
4,2022-07-27 04:00:00,72.0,0.0,0.0,,0,0,4.9,3.3,9.9,10,Partially cloudy,0
5,2022-07-27 05:00:00,71.1,0.0,0.0,,0,0,4.7,5.8,9.9,10,Partially cloudy,0
6,2022-07-27 06:00:00,70.1,0.0,0.0,,0,0,3.8,5.8,9.9,10,Partially cloudy,0
7,2022-07-27 07:00:00,72.0,0.0,0.0,,0,0,4.7,5.8,9.9,10,Partially cloudy,0
8,2022-07-27 08:00:00,75.8,0.0,0.0,,0,0,5.6,3.4,9.9,10,Partially cloudy,0
9,2022-07-27 09:00:00,78.2,0.0,0.0,,0,0,3.4,4.7,9.9,10,Partially cloudy,0
10,2022-07-27 10:00:00,81.0,0.0,0.0,,0,0,3.4,3.3,9.9,10,Partially cloudy,0
11,2022-07-27 11:00:00,84.1,0.0,0.0,,0,0,5.8,4.0,23.9,10,Partially cloudy,0
12,2022-07-27 12:00:00,84.8,0.0,0.0,,0,0,11.0,7.4,24.4,10,Overcast,0
13,2022-07-27 13:00:00,87.9,0.0,0.0,,0,0,10.1,5.8,28.3,10,Overcast,0
14,2022-07-27 14:00:00,86.6,0.0,0.0,,0,0,14.8,11.2,25.0,10,Overcast,0
15,2022-07-27 15:00:00,86.4,0.0,0.0,,0,0,16.6,12.8,24.7,10,Overcast,0
16,2022-07-27 16:00:00,85.6,0.0,0.0,,0,0,16.8,12.8,25.6,10,Overcast,0
17,2022-07-27 17:00:00,84.1,0.0,0.0,,0,0,14.5,11.0,21.3,10,Overcast,0
18,2022-07-27 18:00:00,83.2,0.0,0.0,,0,0,13.9,10.1,20.6,10,Overcast,0
19,2022-07-27 19:00:00,83.0,0.0,0.0,,0,0,12.3,8.3,21.0,10,Overcast,0
