BTS Aircraft Type Desc_1,BTS Aircraft Type Desc_2,BTS Aircraft Type Code,ICAO Aircraft Code,IATA Aircraft Code,ADG
AIRBUS INDUSTRIE A220-100,Airbus Industrie A330-300,687,BCS1,221,III
AIRBUS INDUSTRIE A220-300,A220-300 BD-500-1A11,724,BCS3,223,III
AIRBUS INDUSTRIE A300-600/R/CF/RCF,Airbus Industrie A300-600/R/CF/RCF,691,A306,AB6,IV
AIRBUS INDUSTRIE A300-B2,Airbus Industrie A300-B2,695,A30B,AB4,IV
AIRBUS INDUSTRIE A319,Airbus Industrie A319,698,A319,319,III
AIRBUS INDUSTRIE A320-100/200,Airbus Industrie A320-100/200,694,A320,320,III
AIRBUS INDUSTRIE A320-100/200,Airbus Industrie A320-100/200,694,A320,32A,III
AIRBUS INDUSTRIE A320-200N,Airbus Industrie A320-200n,722,A20N,32N,III
AIRBUS INDUSTRIE A321,Airbus Industrie A321-200n,721,A321,321,III
AIRBUS INDUSTRIE A321,Airbus Industrie A321-200n,721,A321,32B,III
AIRBUS INDUSTRIE A321,Airbus Industrie A321-200n,721,A321,32S,III
AIRBUS INDUSTRIE A321-200N,Airbus Industrie A321-200n,721,A21N,32Q,III
AIRBUS INDUSTRIE A330-200,Airbus Industrie A330-200,696,A332,332,V
AIRBUS INDUSTRIE A330-300,Airbus Industrie A330-300,687,A333,333,V
AIRBUS INDUSTRIE A330-900,Airbus Industrie A330-900,339,A339,339,V
AIRBUS INDUSTRIE A330-900N,Airbus Industrie A330-900,339,A339,339,V
AIRBUS INDUSTRIE A340-200,Airbus Industrie A340-200,873,A342,342,V
AIRBUS INDUSTRIE A340-300,Airbus Industrie A340-300,871,A343,343,V
AIRBUS INDUSTRIE A350-1000,Airbus 350-1000,836,A35K,351,V
AIRBUS INDUSTRIE A350-900,Airbus Industrie A350-900,359,A359,359,V
AIRBUS INDUSTRIE A380-800,Airbus Industrie A380-800,882,A388,388,VI
ANTONOV 12,Antonov 12,507,AN12,ANF,IV
ANTONOV 124,Antonov 124,880,A124,A4F,VI
BEECHCRAFT 1900 A/B/C/D,Beech 1900 A/B/C/D,405,B190,BEH,II
BEECHCRAFT 200 SUPER KINGAIR,Beechcraft Super King Air,458,GENERAL,GENERAL,II
BOEING 717-200,Boeing 717-200,608,B712,717,III
BOEING 727-200/231A,Boeing 727-200/231A,715,B722,722,III
BOEING 737 MAX 800,Boeing 737 Max 7,737,B38M,7M8,III
BOEING 737 MAX 900,Boeing 737 Max 7,737,B39M,7M9,III
BOEING 737-300,Boeing 737-300,619,B733,733,III
BOEING 737-400,Boeing 737-400,617,B734,734,III
BOEING 737-700/700LR,Boeing 737 Max 7,737,B737,73G,III
BOEING 737-800,Boeing 737-800,614,B738,738,III
BOEING 737-800,Boeing 737-800,614,B738,73H,III
BOEING 737-900,Boeing 737-900,634,B738,738,III
BOEING 737-900ER,Boeing 737-900ER,888,B739,739,III
BOEING 737-900ER,Boeing 737-900ER,888,B739,73J,III
BOEING 747-400,Boeing 747-400,819,B744,744,V
BOEING 747-8,Boeing 747SP,822,B748,74H,VI
BOEING 747C,Boeing 747C,818,B741,741,V
BOEING 747F,Boeing 747SP,822,B742,742,V
BOEING 757-200,Boeing 757-200,622,B752,752,IV
BOEING 757-200,Boeing 757-200,622,B752,75W,IV
BOEING 757-300,Boeing 757-300,623,B753,753,IV
BOEING 767-200/200ER,Boeing 767-200/ER/EM,625,B762,762,IV
BOEING 767-300/300ER,Boeing 767-300/300ER,626,B763,763,IV
BOEING 767-300/300ER,Boeing 767-300/300ER,626,B763,76W,IV
BOEING 767-400,Boeing 767-400/ER,624,B764,764,IV
BOEING 777-200/200LR,Boeing 777-200ER/200LR/233LR,627,B772,772,V
BOEING 777-200/200LR,Boeing 777-200ER/200LR/233LR,627,B772,77L,V
BOEING 777-300/300ER/333ER,Boeing 777-300/300ER/333ER,637,B773,773,V
BOEING 777-300/300ER/333ER,Boeing 777-300/300ER/333ER,637,B77W,77W,V
BOEING 777-F,Boeing 777-200ER/200LR/233LR,627,B77L,77X,V
BOEING 787-10 DREAMLINER,Boeing 787-10 Dreamliner,837,B78X,781,V
BOEING 787-800 DREAMLINER,Boeing B737 Max 800,838,B788,788,V
BOEING 787-900 DREAMLINER,Boeing B737 Max 900,839,B789,789,V
BOMARDIER CHALLENGER 350,Bomardier Challenger 350,515,GENERAL,GENERAL,II
BOMBARDIER BD-100-1A10 CHALLENGER 300,Bombardier BD-100-1A10 Challenger 300,609,GENERAL,GENERAL,II
BOMBARDIER CRJ550,Bombardier CRJ550,530,GENERAL,GENERAL,III
BOMBARDIER GLOBAL 6000,Bombardier Global 6000/Global Xrs,788,GENERAL,GENERAL,III
CANADAIR BD-700 GLOBAL EXPRESS,Bombardier BD-700 Global Express,658,GLEX,CCX,III
