Marketing Airline Desc,Marketing Airline IATA Code,Marketing Airline ICAO Code,Marketing Airline Country,Type
ABC Aerolineas,4O,AIJ,Mexico,LC
Aer Lingus,EI,EIN,Ireland,TR
Aeroenlaces Nacionales,VB,VIV,Mexico,LC
Aeroflot Russian Airlines,SU,AFL,Russia,TR
Aerolineas Argentinas,AR,ARG,Argentina,TR
AeroM??xico,AM,AMX,Mexico,TR
Air Canada,AC,ACA,Canada,TR
Air China,CA,CCA,China,TR
Air Europa,UX,AEA,Spain,TR
Air France,AF,AFR,France,TR
Air India Limited,AI,AIC,India,TR
Air Italy,I9,AEY,Italy,TR
Air Namibia,SW,NMB,Namibia,TR
Air Senegal,HC,SZN,Senegal,TR
Air Serbia,JU,ASL,Serbia,TR
Alaska Airlines,AS,ASA,USA,TR
Alitalia,AZ,AZA,Italy,TR
All Nippon Airways,NH,ANA,Japan,TR
Allegiant Air,G4,AAY,USA,LC
American Airlines,AA,AAL,USA,TR
Asiana Airlines,OZ,AAR,South Korea,TR
Austrian Airlines,OS,AUA,Austria,TR
Avianca - Aerovias Nacionales de Colombia,AV,AVA,Colombia,TR
Azerbaijan Airlines,J2,AHY,Azerbaijan,TR
Azul,AD,AZU,Brazil,LC
British Airways,BA,BAW,UK,TR
Brussels Airlines,SN,DAT,Belgium,TR
Cape Air,9K,KAP,USA,TR
Caribbean Airlines,BW,BWA,Trinidad & Tobago,TR
Cathay Pacific,CX,CPA,Hong Kong,TR
Cayman Airways,KX,CAY,Cayman,TR
China Airlines,CI,CAL,China,TR
China Eastern Airlines,MU,CES,China,TR
China Southern Airlines,CZ,CSN,China,TR
Condor Flugdienst,DE,CFG,Germany,LC
Copa Airlines,CM,CMP,Panama,TR
Delta Air Lines,DL,DAL,USA,TR
Dynamic Airways,2D,DYA,USA,TR
Egyptair,MS,MSR,Egypt,TR
El Al Israel Airlines,LY,ELY,Israel,TR
Elite Airways,7Q,MNU,USA,TR
Emirates,EK,UAE,UAE,TR
Ethiopian Airlines,ET,ETH,Ethiopia,TR
Etihad Airways,EY,ETD,UAE,TR
EuroAtlantic Airways,Unknown,MMZ,Portugal,TR
Eurowings,EW,EWG,Germany,LC
EVA Air,BR,EVA,Taiwan,TR
Finnair,AY,FIN,Finland,TR
Flair Airlines,F8,FLE,Canada,LC
French Bee,BF,FBU,France,LC
Frontier Airlines,F9,FFT,USA,LC
Hainan Airlines,HU,CHH,China,TR
Hawaiian Airlines,HA,HAL,USA,TR
Iberia Airlines,IB,IBE,Spain,TR
Icelandair,FI,ICE,Iceland,TR
ITA Airways,AZ,ITY,Italy,TR
Japan Airlines,JL,JAL,Japan,TR
Jet2.com,LS,EXS,UK,LC
JetBlue Airways,B6,JBU,USA,LC
Kenya Airways,KQ,KQA,Kenya,TR
KLM Royal Dutch Airlines,KL,KLM,Netherlands,TR
Korean Air,KE,KAL,South Korea,TR
Kuwait Airways,KU,KAC,Kuwait,TR
La Compagnie,B0,DJT,France,TR
LACSA,LR,LRC,Costa Rica,TR
LATAM Brasil,JJ,TAM,Brazil,TR
LATAM Chile,LA,LAN,Chile,TR
LATAM Ecuador,XL,LNE,Ecuador,TR
LOT Polish Airlines,LO,LOT,Poland,TR
Lufthansa,LH,DLH,Germany,TR
Neos Air,NO,NOS,Italy,TR
Norwegian Air Shuttle,DY,NAX,Norway,LC
Norwegian Air UK,DI,NRS,UK,TR
OpenSkies,LV,BOS,UK,TR
Philippine Airlines,PR,PAL,Phillipines,TR
Play Airlines,OG,FPY,Iceland,TR
Porter Airlines,PD,POE,Canada,LC
Qantas,QF,QFA,Australia,TR
Qatar Airways,QR,QTR,Qatar,TR
Royal Air Maroc,AT,RAM,Morocco,TR
Royal Jordanian,RJ,RJA,Jordan,TR
SATA International,S4,RZO,Portugal,TR
Saudi Arabian Airlines,SV,SVA,Saudi Arabia,TR
Scandinavian Airlines System,SK,SAS,Sweden,TR
Singapore Airlines,SQ,SIA,Singapore,TR
South African Airways,SA,SAA,South Africa,TR
Southwest Airlines,WN,SWA,USA,LC
Spirit Airlines,NK,NKS,USA,LC
Star Peru,2I,SRU,Peru,TR
Sun Country Airlines,SY,SCX,USA,LC
Swiss International Airlines,LX,SWR,Switzerland,TR
TAP Portugal,TP,TAP,Portugal,TR
Turkish Airlines,TK,THY,Turkey,TR
Ukraine International Airlines,PS,AUI,Ukraine,TR
United Airlines,UA,UAL,USA,TR
Unknown,Unknown,Unknown,Unknown,TR
Uzbekistan Airways,HY,UZB,Uzbekistan,TR
Virgin Atlantic Airways,VS,VIR,UK,TR
Volaris,Y4,VOI,Mexico,LC
Volaris Costa Rica,Q6,VOC,Costa Rica,LC
Volaris El Salvador,N3,VOS,El Salvador,TR
Vueling Airlines,VY,VLG,Spain,LC
WestJet,WS,WJA,Canada,LC
Xiamen Airlines,MF,CXA,China,TR
,,,,
,,,,
,,,,
