,List of Low-Cost-Carriers (LCCs),,,,,,,
,based on ICAO definiton,,,,,,,
Global Air Transport Outlook to 2030,http://www.icao.int/sustainability/Pages/GATO2030.aspx,,,,,,,
ICAO DATA+,http://stats.icao.int,,,,,,,
,,,,,,,,as of 13 June 2017
,,,,,,,,email: ecd@icao.int
Region,Country of AOC,Airline name,"ICAO
code","IATA
code","Beginning of
operation","Ceased
operation",Former names,Notes
Africa,South Africa,1time Airline,RNX,T6,2004,2012,,
Africa,Egypt,Air Arabia Egypt,RBG,E5,2010,,,"Operates flights on behalf of parent airlines Air Arabia
and offers connections throught Sharjah to all Air Arabia destinations"
Africa,Morroco,Air Arabia Maroc,MAC,3O,2009,,,
Africa,Egypt,Air Leisure,ALD,AL,2015,,,
Africa,Kenya,Air Peace,APK,P4,2016,,,
Africa,Morroco,Atlas Blue,BMM,8A,2004,2009,,Integrated in Royal Air Maroc
Africa,Egypt,Aviator Aviation,AVV,T9,2016,,,
Africa,Tanzania,Fastjet,FTZ,FN,2012,,,"Easyjet owns 5,5 %"
Africa,Kenya,Five Forty Aviation,FFV,5H,2009,,,
Africa,Kenya,Jambojet,,JX,2014,2017,,
Africa,Morroco,Jet4you,JFU,8J,2006,2012,,Merged with JetairFly (Belgium)
Africa,South Africa,kulula.com,CAW,MN,2001,,,Low cost subsidiary of Comair Airlines
Africa,South Africa,Mango Airlines,MNO,JE,2006,,,Low cost subsidiary of South African Airways
Africa,South Africa,Namibia Flyafrica,NMD,N6,2015,,,
Africa,South Africa,Safair,SFR,FA,2014,,,
Africa,South Africa,Skywise Airline,SWZ,C9,2015,2015,,
Asia and Pacific,China,9 Air,JYH,AQ,2015,,,
Asia and Pacific,Indonesia,Adam Air,DHI,KI,2002,2008,,Formerly Adam Skyconnection Airlines
Asia and Pacific,Pakistan,Aero Asia International,RSO,E4,1993,1997,,
Asia and Pacific,Malaysia,Air Asia,AXM,AK,1996,,,Tune Air Sdn Bhd's control since 2001
